i,j,lb,ub,NC,RFr,RSr,gap
44,6,56.00,56.4088752,2.10,0.75,1.00,0.0073000
44,7,42.00,45.6405844,2.10,0.75,1.00,0.0867000
44,8,49.00,52.2649705,2.10,0.75,1.00,0.0666000
44,9,64.00,64.8095852,2.10,0.75,1.00,0.0127000
44,10,63.00,64.8577431,2.10,0.75,1.00,0.0295000
45,1,82.00,86.4839651,2.10,1.00,0.20,0.0547000
45,2,125.00,126.5065039,2.10,1.00,0.20,0.0121000
45,3,92.00,94.3883993,2.10,1.00,0.20,0.0260000
45,4,84.00,88.4204599,2.10,1.00,0.20,0.0526000
45,5,86.00,89.3760443,2.10,1.00,0.20,0.0393000
45,6,129.00,132.7799645,2.10,1.00,0.20,0.0393000
45,7,101.00,105.6404422,2.10,1.00,0.20,0.0459000
45,8,94.00,95.6683704,2.10,1.00,0.20,0.0178000
45,9,82.00,86.3566497,2.10,1.00,0.20,0.0531000
45,10,90.00,94.1496499,2.10,1.00,0.20,0.0461000
46,1,59.00,64.4893497,2.10,1.00,0.50,0.0930000
46,2,67.00,72.8234940,2.10,1.00,0.50,0.0869000
46,3,65.00,70.0621510,2.10,1.00,0.50,0.0779000
46,4,64.00,69.2820830,2.10,1.00,0.50,0.0825000
46,5,57.00,63.4085821,2.10,1.00,0.50,0.1124000
46,6,59.00,64.3004409,2.10,1.00,0.50,0.0898000
46,7,59.00,63.5515610,2.10,1.00,0.50,0.0772000
46,8,58.00,63.8365654,2.10,1.00,0.50,0.1006000
46,9,49.00,53.9168744,2.10,1.00,0.50,0.1003000
46,10,55.00,59.0836178,2.10,1.00,0.50,0.0743000
47,1,58.00,62.3588236,2.10,1.00,0.70,0.0752000
47,2,59.00,61.0399122,2.10,1.00,0.70,0.0346000
47,3,55.00,59.1697397,2.10,1.00,0.70,0.0758000
47,4,49.00,54.6502725,2.10,1.00,0.70,0.1153000
47,5,47.00,50.8041274,2.10,1.00,0.70,0.0809000
47,6,53.00,58.5990712,2.10,1.00,0.70,0.1056000
47,7,66.00,69.1488164,2.10,1.00,0.70,0.0477000
47,8,48.00,51.2705342,2.10,1.00,0.70,0.0681000
47,9,65.00,70.0550613,2.10,1.00,0.70,0.0778000
47,10,60.00,65.4885352,2.10,1.00,0.70,0.0915000
48,1,63.00,64.2354691,2.10,1.00,1.00,0.0196000
48,2,54.00,55.7864679,2.10,1.00,1.00,0.0331000
48,3,50.00,52.0323403,2.10,1.00,1.00,0.0407000
48,4,57.00,59.8966080,2.10,1.00,1.00,0.0508000
48,5,58.00,61.2181423,2.10,1.00,1.00,0.0555000
48,6,58.00,59.4208258,2.10,1.00,1.00,0.0245000
48,7,55.00,56.7786936,2.10,1.00,1.00,0.0323000
48,8,44.00,46.3094159,2.10,1.00,1.00,0.0525000
48,9,59.00,62.1667001,2.10,1.00,1.00,0.0537000
48,10,54.00,55.8973022,2.10,1.00,1.00,0.0351000
