i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
4,5,59,59.7939963,1.5,0.25,1,59.76669919,62.82926274,62.82926274,61.19199851,60.12871601,60.10443215,60.02244335,59.7666992,59.76669919
4,6,45,46.2619063,1.5,0.25,1,46.2619063,49.54270406,49.54270406,47.11639505,47.11466776,46.80472513,47.08902641,46.1429135,46.14438587
4,7,56,58.6742819,1.5,0.25,1,58.59072418,61.71175141,61.71175141,58.92385492,58.9306385,58.67879751,58.58026676,58.4240267,58.42402666
4,8,55,56.6899444,1.5,0.25,1,56.6899444,60.07612431,60.07612431,57.11768989,56.64531049,56.49834841,56.35274065,56.1366783,56.13720339
4,9,38,41.0694849,1.5,0.25,1,41.06948493,43.04893201,43.04893201,41.23209001,41.16697355,41.23045379,41.16285402,41.0640409,41.06404321
4,10,48,49.2949456,1.5,0.25,1,49.71725448,52.90305995,52.90305995,51.04454768,50.6419124,49.77146195,49.35501227,49.2949456,48.97700371
5,1,53,56.053881,1.5,0.5,0.2,55.98629912,58.0213699,58.0213699,56.34488487,56.22281744,56.07369199,56.23897075,55.8607979,55.86079787
5,2,82,85.0482679,1.5,0.5,0.2,85.04847497,86.25979238,86.25979238,85.08349678,84.8538556,84.7947126,84.77252187,84.744144,84.74414405
5,3,76,80.1379077,1.5,0.5,0.2,80.1446958,80.85564633,80.85564633,79.94120364,79.74996708,79.69619606,79.60463504,79.604635,79.60463504
5,4,63,69.2341196,1.5,0.5,0.2,69.2341196,71.11936196,71.11936196,69.36816149,69.17351838,69.16917026,69.10731414,69.1625757,69.16257573
5,5,76,81.3380605,1.5,0.5,0.2,81.33354553,82.52421392,82.52421392,81.47813635,81.45330607,81.39296449,81.34978578,81.3766728,81.34448366
5,6,64,68.4615737,1.5,0.5,0.2,68.46157372,68.84081059,68.84081059,68.21163743,67.99583359,68.10505013,68.23134085,68.0478393,68.04783932
5,7,76,78.9701871,1.5,0.5,0.2,78.97018708,80.21168097,80.21168097,78.81430042,78.7216137,78.6699889,78.9810156,78.6505507,78.65055068
5,8,67,71.1232425,1.5,0.5,0.2,71.12324254,72.51651522,72.51651522,71.60664777,71.3081178,71.0953617,71.12498846,71.0936158,71.09361577
5,9,49,52.7896446,1.5,0.5,0.2,52.79023311,54.50003774,54.50003774,52.85596902,52.7629189,52.74950262,52.72886425,52.7289727,52.72897267
